# EHPower estimated for Planck15 cosmology at a=0.01 with nbodykit
# k, P(k)
4.834395434315224828e-05 3.530279482214423309e-02
4.879150025023300962e-05 3.561865099537131485e-02
4.924318932974693091e-05 3.593733260842014998e-02
4.969905993726288234e-05 3.625886492083726237e-02
5.015915078342747703e-05 3.658327341757965784e-02
5.062350093725285312e-05 3.691058381101549463e-02
5.109214982943394617e-05 3.724082204294168474e-02
5.156513725569646485e-05 3.757401428661889808e-02
5.204250338017678951e-05 3.791018694882510726e-02
5.252428873883227594e-05 3.824936667192623679e-02
5.301053424288302803e-05 3.859158033596490900e-02
5.350128118228657606e-05 3.893685506076809133e-02
5.399657122924373244e-05 3.928521820807218123e-02
5.449644644173689233e-05 3.963669738366679129e-02
5.500094926710206642e-05 3.999132043955775512e-02
5.551012254563290449e-05 4.034911547614795924e-02
5.602400951421874933e-05 4.071011084443799249e-02
5.654265381001566404e-05 4.107433514824486431e-02
5.706609947415259410e-05 4.144181724644131065e-02
5.759439095547085529e-05 4.181258625521325212e-02
5.812757311429815333e-05 4.218667155033714589e-02
5.866569122625865326e-05 4.256410276947759225e-02
5.920879098611726219e-05 4.294490981450418271e-02
5.975691851165946037e-05 4.332912285382826967e-02
6.031012034760815764e-05 4.371677232476069846e-02
6.086844346957572563e-05 4.410788893588910714e-02
6.143193528805258776e-05 4.450250366947578612e-02
6.200064365243388516e-05 4.490064778387695826e-02
6.257461685508212447e-05 4.530235281598182784e-02
6.315390363542825391e-05 4.570765058367348699e-02
6.373855318410986644e-05 4.611657318831019481e-02
6.432861514714906443e-05 4.652915301722892333e-02
6.492413963016779703e-05 4.694542274626967854e-02
6.552517720264218817e-05 4.736541534232122791e-02
6.613177890219757642e-05 4.778916406588992749e-02
6.674399623894192190e-05 4.821670247368915752e-02
6.736188119983947795e-05 4.864806442125142738e-02
6.798548625312613662e-05 4.908328406556330264e-02
6.861486435276432060e-05 4.952239586772214097e-02
6.925006894293933221e-05 4.996543459561556683e-02
6.989115396259832518e-05 5.041243532662458698e-02
7.053817385003021854e-05 5.086343345034876479e-02
7.119118354748794864e-05 5.131846467135479234e-02
7.185023850585476690e-05 5.177756501194929334e-02
7.251539468935248259e-05 5.224077081497414954e-02
7.318670858029327703e-05 5.270811874662571783e-02
7.386423718387682383e-05 5.317964579929870123e-02
7.454803803303049268e-05 5.365538929445352878e-02
7.523816919329437132e-05 5.413538688550750128e-02
7.593468926775282684e-05 5.461967656075179117e-02
7.663765740201041094e-05 5.510829664629190994e-02
7.734713328921378952e-05 5.560128580901292639e-02
7.806317717512153975e-05 5.609868305957083079e-02
7.878584986321956508e-05 5.660052775540808101e-02
7.951521271988372711e-05 5.710685960379418419e-02
8.025132767959182228e-05 5.761771866489339561e-02
8.099425725018235547e-05 5.813314535485657186e-02
8.174406451816187220e-05 5.865318044893932936e-02
8.250081315406304519e-05 5.917786508464711881e-02
8.326456741785081802e-05 5.970724076490559890e-02
8.403539216437855774e-05 6.024134936125760675e-02
8.481335284889631690e-05 6.078023311708758564e-02
8.559851553260831836e-05 6.132393465087192241e-02
8.639094688828295612e-05 6.187249695945688799e-02
8.719071420591361819e-05 6.242596342136308429e-02
8.799788539843382790e-05 6.298437780011860443e-02
8.881252900748353254e-05 6.354778424761846345e-02
8.963471420922884312e-05 6.411622730751227739e-02
9.046451082023728525e-05 6.468975191862030849e-02
9.130198930340575588e-05 6.526840341837718273e-02
9.214722077394347610e-05 6.585222754630375153e-02
9.300027700541178334e-05 6.644127044750842981e-02
9.386123043581841817e-05 6.703557867621642852e-02
9.473015417376797289e-05 6.763519919932758917e-02
9.560712200467121221e-05 6.824017940000466631e-02
9.649220839700978312e-05 6.885056708128957370e-02
9.738548850866023067e-05 6.946641046974988409e-02
9.828703819327524603e-05 7.008775821915420867e-02
9.919693400672605001e-05 7.071465941417853784e-02
1.001152532136026052e-04 7.134716357414178090e-02
1.010420737937740420e-04 7.198532065677124003e-02
1.019774744490116431e-04 7.262918106200003110e-02
1.029215346096707545e-04 7.327879563579302313e-02
1.038743344414361355e-04 7.393421567400508543e-02
1.048359548521295967e-04 7.459549292626993511e-02
1.058064774985797079e-04 7.526267959991957135e-02
1.067859847935560710e-04 7.593582836393569790e-02
1.077745599127678312e-04 7.661499235293252330e-02
1.087722868019259394e-04 7.730022517117082770e-02
1.097792501838717956e-04 7.799158089660419846e-02
1.107955355657717970e-04 7.868911408495779525e-02
1.118212292463781457e-04 7.939287977383850670e-02
1.128564183233561846e-04 8.010293348687758108e-02
1.139011907006817195e-04 8.081933123790666085e-02
1.149556350961046937e-04 8.154212953516583318e-02
1.160198410486825907e-04 8.227138538554459868e-02
1.170938989263839712e-04 8.300715629885624391e-02
1.181778999337624697e-04 8.374950029214557612e-02
1.192719361197008436e-04 8.449847589402956216e-02
1.203761003852276784e-04 8.525414214907175992e-02
1.214904864914066117e-04 8.601655862219144411e-02
1.226151890672973178e-04 8.678578540310458167e-02
1.237503036179913977e-04 8.756188311080108366e-02
1.248959265327226993e-04 8.834491289805529446e-02
1.260521550930515525e-04 8.913493645597024562e-02
1.272190874811257263e-04 8.993201601855770055e-02
1.283968227880183225e-04 9.073621436735260226e-02
1.295854610221411308e-04 9.154759483606121628e-02
1.307851031177374550e-04 9.236622131524578616e-02
1.319958509434534632e-04 9.319215825704381395e-02
1.332178073109875193e-04 9.402547067992186869e-02
1.344510759838211001e-04 9.486622417346572689e-02
1.356957616860300522e-04 9.571448490320588753e-02
1.369519701111772999e-04 9.657031961547862808e-02
1.382198079312869758e-04 9.743379564232189372e-02
1.394993828059041500e-04 9.830498090640946152e-02
1.407908033912359553e-04 9.918394392601881382e-02
1.420941793493775516e-04 1.000707538200356211e-01
1.434096213576257204e-04 1.009654803129961531e-01
1.447372411178761604e-04 1.018681937401638149e-01
1.460771513661086570e-04 1.027789650526430981e-01
1.474294658819603977e-04 1.036978658225305439e-01
1.487942994983881384e-04 1.046249682481019266e-01
1.501717681114184057e-04 1.055603451590354236e-01
1.515619886899893700e-04 1.065040700216729752e-01
1.529650792858839258e-04 1.074562169443178117e-01
1.543811590437531138e-04 1.084168606825685888e-01
1.558103482112338143e-04 1.093860766446911326e-01
1.572527681491603868e-04 1.103639408970273628e-01
1.587085413418688729e-04 1.113505301694405064e-01
1.601777914075985885e-04 1.123459218607981980e-01
1.616606431089896397e-04 1.133501940444930078e-01
1.631572223636762833e-04 1.143634254739991224e-01
1.646676562549798432e-04 1.153856955884671742e-01
1.661920730427005879e-04 1.164170845183567227e-01
1.677306021740079995e-04 1.174576730911046502e-01
1.692833742944334721e-04 1.185075428368318612e-01
1.708505212589644376e-04 1.195667759940875485e-01
1.724321761432408132e-04 1.206354555156296804e-01
1.740284732548540419e-04 1.217136650742431242e-01
1.756395481447540368e-04 1.228014890685959204e-01
1.772655376187584489e-04 1.238990126291315830e-01
1.789065797491687815e-04 1.250063216239979402e-01
1.805628138864968501e-04 1.261235026650156521e-01
1.822343806712967346e-04 1.272506431136810612e-01
1.839214220461071856e-04 1.283878310872068607e-01
1.856240812675051326e-04 1.295351554645996772e-01
1.873425029182709486e-04 1.306927058927750962e-01
1.890768329196648701e-04 1.318605727927074367e-01
1.908272185438184259e-04 1.330388473656175796e-01
1.925938084262407901e-04 1.342276215991970445e-01
1.943767525784391935e-04 1.354269882738669828e-01
1.961762024006578117e-04 1.366370409690742249e-01
1.979923106947346402e-04 1.378578740696239369e-01
1.998252316770756818e-04 1.390895827720457778e-01
2.016751209917508076e-04 1.403322630909967783e-01
2.035421357237112111e-04 1.415860118657009115e-01
2.054264344121269656e-04 1.428509267664198334e-01
2.073281770638503755e-04 1.441271063009624265e-01
2.092475251670035234e-04 1.454146498212265659e-01
2.111846417046900392e-04 1.467136575297753320e-01
2.131396911688354559e-04 1.480242304864475555e-01
2.151128395741557994e-04 1.493464706150023358e-01
2.171042544722544666e-04 1.506804807097961163e-01
2.191141049658486110e-04 1.520263644424918459e-01
2.211425617231312438e-04 1.533842263688038887e-01
2.231897969922620837e-04 1.547541719352713563e-01
2.252559846159940407e-04 1.561363074860653843e-01
2.273413000464355503e-04 1.575307402698274961e-01
2.294459203599499776e-04 1.589375784465389407e-01
2.315700242721908996e-04 1.603569310944190918e-01
2.337137921532784145e-04 1.617889082168561810e-01
2.358774060431163442e-04 1.632336207493660374e-01
2.380610496668487551e-04 1.646911805665799144e-01
2.402649084504618717e-04 1.661617004892604610e-01
2.424891695365304599e-04 1.676452942913467248e-01
2.447340218001077040e-04 1.691420767070249964e-01
2.469996558647643246e-04 1.706521634378267704e-01
2.492862641187766387e-04 1.721756711597536571e-01
2.515940407314613391e-04 1.737127175304258309e-01
2.539231816696648002e-04 1.752634211962553756e-01
2.562738847144043343e-04 1.768279017996460534e-01
2.586463494776612367e-04 1.784062799862122239e-01
2.610407774193321782e-04 1.799986774120228561e-01
2.634573718643364515e-04 1.816052167508664938e-01
2.658963380198815112e-04 1.832260217015368176e-01
2.683578829928863203e-04 1.848612169951365791e-01
2.708422158075712827e-04 1.865109284024036029e-01
2.733495474232060371e-04 1.881752827410524131e-01
2.758800907520217232e-04 1.898544078831318760e-01
2.784340606772937941e-04 1.915484327624028260e-01
2.810116740715870782e-04 1.932574873817271832e-01
2.836131498151715498e-04 1.949817028204715030e-01
2.862387088146091320e-04 1.967212112419243764e-01
2.888885740215131593e-04 1.984761459007258200e-01
2.915629704514786013e-04 2.002466411503052990e-01
2.942621252031906386e-04 2.020328324503303241e-01
2.969862674777094748e-04 2.038348563741635699e-01
2.997356285979315489e-04 2.056528506163255166e-01
3.025104420282334898e-04 2.074869539999628365e-01
3.053109433942977286e-04 2.093373064843217501e-01
3.081373705031189019e-04 2.112040491722226299e-01
3.109899633631986893e-04 2.130873243175362142e-01
3.138689642049269715e-04 2.149872753326604324e-01
3.167746175011494701e-04 2.169040467959938712e-01
3.197071699879278344e-04 2.188377844594060762e-01
