# EHPower estimated for Planck15 cosmology at a=1.00 with nbodykit
# k, P(k)
2.631540783323321316e-05 1.137887449323362432e+02
2.655902367370273237e-05 1.148068855173893894e+02
2.680489479663271664e-05 1.158341355322564681e+02
2.705304208038222211e-05 1.168705764656560007e+02
2.730348659659247632e-05 1.179162905348675139e+02
2.755624961197601508e-05 1.189713606922334748e+02
2.781135259012290913e-05 1.200358706317214370e+02
2.806881719332319272e-05 1.211099047955421781e+02
2.832866528440615165e-05 1.221935483808262148e+02
2.859091892859718891e-05 1.232868873463623487e+02
2.885560039539132601e-05 1.243900084193934248e+02
2.912273216044406851e-05 1.255029991024725859e+02
2.939233690748028626e-05 1.266259476803821826e+02
2.966443753022025788e-05 1.277589432271125389e+02
2.993905713432352671e-05 1.289020756129019674e+02
3.021621903935129653e-05 1.300554355113414715e+02
3.049594678074644903e-05 1.312191144065408821e+02
3.077826411183190122e-05 1.323932046003576488e+02
3.106319500582800408e-05 1.335777992196922241e+02
3.135076365788805428e-05 1.347729922238463871e+02
3.164099448715267766e-05 1.359788784119458853e+02
3.193391213882375556e-05 1.371955534304315165e+02
3.222954148625703665e-05 1.384231137806146421e+02
3.252790763307404756e-05 1.396616568262986675e+02
3.282903591529421033e-05 1.409112808014715483e+02
3.313295190348605540e-05 1.421720848180625296e+02
3.343968140493837706e-05 1.434441688737690015e+02
3.374925046585208375e-05 1.447276338599540395e+02
3.406168537355173324e-05 1.460225815696117593e+02
3.437701265871753904e-05 1.473291147054031001e+02
3.469525909763864066e-05 1.486473368877648795e+02
3.501645171448658744e-05 1.499773526630881122e+02
3.534061778361024224e-05 1.513192675119699970e+02
3.566778483185152203e-05 1.526731878575373003e+02
3.599798064088329696e-05 1.540392210738461074e+02
3.633123324956828221e-05 1.554174754943531127e+02
3.666757095633975627e-05 1.568080604204614588e+02
3.700702232160499316e-05 1.582110861301453042e+02
3.734961617017026360e-05 1.596266638866470373e+02
3.769538159368831295e-05 1.610549059472520241e+02
3.804434795312912245e-05 1.624959255721426814e+02
3.839654488127293728e-05 1.639498370333283503e+02
3.875200228522629318e-05 1.654167556236543248e+02
